Epochs,Loss,Top-5 Accuracy,BLEU-4
0,4.719,55.982,0.10479533975223343
1,4.443,59.216,0.11805294795899957
2,4.308,60.894,0.12779908897163622
3,4.222,62.122,0.13073726834975355
4,4.174,62.798,0.13628311249826705
5,4.14,63.192,0.1371214119242033
6,4.117,63.632,0.14047776762405623
7,4.109,63.87,0.14299564191064856
8,4.114,64.06,0.14217844459025714
9,4.114,64.045,0.1440695967733806
10,4.119,64.1,0.14475440807191564
11,4.132,64.112,0.1449053851016713
12,4.143,64.193,0.14519582952709492
13,4.17,64.031,0.1445298552711912
14,4.18,63.923,0.14655187165942785
15,4.208,63.912,0.14615887942009276
16,4.226,63.808,0.1460884230970669
17,4.252,63.753,0.14591361714223683
18,4.277,63.526,0.14567487801692036
19,4.308,63.594,0.1452138276690616
20,4.32,63.283,0.1427957884827176
21,4.368,63.275,0.14295191253687253
22,4.371,62.96,0.14347022559853725
23,4.41,63.015,0.14218768238233864
24,4.447,62.811,0.14220987431288787
25,4.463,62.629,0.14195242835206653
26,4.495,62.436,0.14237388429997802
27,4.522,62.424,0.14169065460140837
28,4.552,62.383,0.14008081854306254
29,4.585,62.144,0.13830310656590036
30,4.594,62.031,0.14038985714827704
31,4.641,62.002,0.13829860269196195
32,4.657,61.882,0.13892523332190218
33,4.672,61.649,0.137015397895742
34,4.706,61.53,0.13830702782186866
